image_id,split,img_w,img_h,status,skip_reason,n_lesion_types,lesion_types,has_any_lesion_px,mask_exists_ma_he_ex_se_1,mask_exists_ma_he_ex_se_2,mask_exists_ma_he_ex_se_3,mask_exists_ma_he_ex_se_4,mask_px_full_ma_he_ex_se_1,mask_px_full_ma_he_ex_se_2,mask_px_full_ma_he_ex_se_3,mask_px_full_ma_he_ex_se_4
IDRiD_27,train,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,25746,65344,69734,-1
IDRiD_28,train,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,4805,32395,4725,-1
IDRiD_29,train,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,4525,2149,2343,-1
IDRiD_30,train,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,7308,53438,22501,14627
IDRiD_31,train,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,8156,216935,48998,158077
IDRiD_32,train,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,6068,86486,84975,39910
IDRiD_33,train,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,36212,330744,58229,5571
IDRiD_34,train,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,12563,415359,26720,-1
IDRiD_35,train,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,13997,368997,19873,41300
IDRiD_36,train,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,9857,58339,5893,-1
IDRiD_37,train,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,6464,50017,25759,-1
IDRiD_38,train,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,9359,14028,12551,18516
IDRiD_39,train,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,38066,250350,18733,85288
IDRiD_40,train,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,6592,3642,7779,-1
IDRiD_41,train,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,5486,4266,8250,-1
IDRiD_42,train,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,2522,4404,25201,-1
IDRiD_43,train,4288,2848,valid,,2,MA+EX,1,1,0,1,0,914,-1,61341,-1
IDRiD_44,train,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,1932,5906,24798,-1
IDRiD_45,train,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,2548,13236,47341,-1
IDRiD_46,train,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,11628,192856,21191,100367
IDRiD_47,train,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,3986,68527,38582,33761
IDRiD_48,train,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,22353,133197,154434,58746
IDRiD_49,train,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,16520,178309,221897,42441
IDRiD_50,train,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,5202,34176,120675,36775
IDRiD_51,train,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,14362,48296,19228,78562
IDRiD_52,train,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,6671,3354,2974,9750
IDRiD_53,train,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,26531,91360,10985,9022
IDRiD_54,train,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,24011,38734,9450,30804
IDRiD_55,test,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,10410,102377,497671,2832
IDRiD_56,test,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,10726,204479,13370,58393
IDRiD_57,test,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,2101,2795,43380,-1
IDRiD_58,test,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,7408,80671,69235,-1
IDRiD_59,test,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,11551,72209,89348,175600
IDRiD_60,test,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,10137,39814,52629,79936
IDRiD_61,test,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,18568,1186642,32900,17787
IDRiD_62,test,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,3233,10829,44427,-1
IDRiD_63,test,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,2173,12603,92542,-1
IDRiD_64,test,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,12343,23818,68089,40473
IDRiD_65,test,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,16973,42485,70528,-1
IDRiD_66,test,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,9144,24156,917148,-1
IDRiD_67,test,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,13242,329922,31950,38602
IDRiD_68,test,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,7450,296560,18689,68865
IDRiD_69,test,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,10767,292747,57400,-1
IDRiD_70,test,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,8693,101922,62285,21717
IDRiD_71,test,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,21182,50940,282256,18081
IDRiD_72,test,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,8355,8454,164636,16079
IDRiD_73,test,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,10305,25636,10821,31729
IDRiD_74,test,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,17343,101462,26025,11730
IDRiD_75,test,4288,2848,valid,,4,MA+HE+EX+SE,1,1,1,1,1,25490,144770,20253,14068
IDRiD_76,test,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,25151,81162,71267,-1
IDRiD_77,test,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,12850,37789,99236,-1
IDRiD_78,test,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,14364,64753,94566,-1
IDRiD_79,test,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,20921,114139,327387,-1
IDRiD_80,test,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,689,17227,6964,-1
IDRiD_81,test,4288,2848,valid,,3,MA+HE+EX,1,1,1,1,0,12327,46158,12525142,-1
