relPath,classFolder,fileName,overall,brightness,contrast,focusScore,foregroundFrac,illumination,maskValid,focusStatus,brightnessStatus,contrastStatus,foregroundStatus,illuminationStatus,maskValidStatus,failureCategories
class_0\2b3a4a81d748.png,class_0,2b3a4a81d748.png,PASS,0.456964899234972,0.0712924145318035,0.00113597347624606,0.787326077097506,1.09376730901044,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\2d04cead4d3a.png,class_0,2d04cead4d3a.png,PASS,0.318569587592596,0.0856374246656078,0.00075246761256417,0.473923365275065,1.02366294032987,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\2f7fbdcc9a4b.png,class_0,2f7fbdcc9a4b.png,PASS,0.41224696449574,0.0721765756156005,0.000725408325433309,0.474017143249512,1.11322646608725,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\30db694bee42.png,class_0,30db694bee42.png,PASS,0.397134095681085,0.08276556908737,0.000597158135089356,0.473659833272298,1.06364257187885,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\3132556f5352.png,class_0,3132556f5352.png,PASS,0.359840954796244,0.0470558875484669,0.000926929268091758,0.785891156462585,1.01613892568366,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\32ed318235b8.png,class_0,32ed318235b8.png,PASS,0.403687715237168,0.0787163168373203,0.000843636105269074,0.78579410430839,1.23933759979737,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\348598d01e18.png,class_0,348598d01e18.png,PASS,0.380737318967408,0.0793923806108799,0.0010783473168514,0.785733333333333,1.14147771560243,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\35df2bc6ae95.png,class_0,35df2bc6ae95.png,PASS,0.382658775677555,0.0507718558219926,0.000971321822842881,0.786593197278912,1.14911098411129,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\3710ff45299c.png,class_0,3710ff45299c.png,PASS,0.399330818758267,0.0646859020115551,0.00119985722112023,0.787208163265306,1.16132874426218,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\384db24ebbd7.png,class_0,384db24ebbd7.png,PASS,0.426976629063993,0.0462442252486423,0.00095954367876227,0.786807256235828,1.08714798583,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\387138ddf43d.png,class_0,387138ddf43d.png,FAIL,0.17457344227236,0.0386942122334593,0.000251543508851716,0.660016783795285,0.858454135879713,1,PASS,FAIL,WARNING,PASS,WARNING,PASS,Underexposure
class_0\388279491b5d.png,class_0,388279491b5d.png,PASS,0.408871203019373,0.0856621656055321,0.000927495895694248,0.474178949991862,1.14952426048422,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\3a643599f852.png,class_0,3a643599f852.png,WARNING,0.210927987896546,0.0532106447738087,0.000191379887703229,0.327937761942546,1.26764623602094,1,WARNING,WARNING,PASS,WARNING,WARNING,PASS,
class_0\3ac92ac3d65a.png,class_0,3ac92ac3d65a.png,PASS,0.446515929309699,0.0634782450039293,0.000768726904526202,0.473828951517741,1.02853414922985,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\3b5dffe159b6.png,class_0,3b5dffe159b6.png,PASS,0.443859104513545,0.0729512605405832,0.000972170570185154,0.787187301587302,1.09321261244735,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\3c42512c81e0.png,class_0,3c42512c81e0.png,WARNING,0.510614805569359,0.0761327859908022,0.00116876908115549,0.788819047619048,1.10128091096995,1,PASS,WARNING,PASS,PASS,PASS,PASS,
class_0\3c9529918097.png,class_0,3c9529918097.png,PASS,0.412679003031771,0.0543511512217229,0.0010329282628495,0.787774149659864,1.08851065759088,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\3cdef7c591cc.png,class_0,3cdef7c591cc.png,PASS,0.37403872097883,0.0538876103968437,0.000639131590186974,0.473857846822016,1.08450841321825,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\3ce2f8a77a32.png,class_0,3ce2f8a77a32.png,PASS,0.303150479261644,0.0688814945483219,0.000437952802121363,0.473668098449707,1.15213320159342,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\3f44d749cd0b.png,class_0,3f44d749cd0b.png,PASS,0.363065356926228,0.048494640950918,0.00091779707403849,0.832043767357402,1.03118896628636,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\3f6c627e2ff2.png,class_0,3f6c627e2ff2.png,PASS,0.42189493325902,0.0521929034548572,0.00107322698626669,0.786897959183673,1.09647114888178,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\3f98be586fe3.png,class_0,3f98be586fe3.png,PASS,0.399465413719756,0.0573544806524791,0.000788640862634394,0.786554195011338,1.12980557910354,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\401fdfd0db07.png,class_0,401fdfd0db07.png,PASS,0.418284157605427,0.0579224875759475,0.00123835582303601,0.786319274376417,1.0556375547048,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\405085b53d7b.png,class_0,405085b53d7b.png,PASS,0.431926285636385,0.0583557495639925,0.00119014706542453,0.787570975056689,1.04643529238053,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\40c24aded50c.png,class_0,40c24aded50c.png,PASS,0.439759832650559,0.0492431115799695,0.0010620726599117,0.787286167800453,1.08547665047948,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\42b9c1977681.png,class_0,42b9c1977681.png,WARNING,0.415890784538614,0.0691490832548971,0.00150791639834827,0.786879818594104,1.1233176127908,1,WARNING,PASS,PASS,PASS,PASS,PASS,
class_0\43f22d1be8dd.png,class_0,43f22d1be8dd.png,PASS,0.408757769847279,0.041497093211108,0.000856378505962248,0.474301304920197,1.0176927032919,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\44271f3cb18f.png,class_0,44271f3cb18f.png,PASS,0.301487825356844,0.0475712216435743,0.000654935197782519,0.473684838505685,0.987867491867118,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\44878f34e31f.png,class_0,44878f34e31f.png,PASS,0.341997182608074,0.0609343337605032,0.000838876489729676,0.78540589569161,1.25287265810051,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\44976c3b11a6.png,class_0,44976c3b11a6.png,WARNING,0.276939700327418,0.0786672191083521,0.000369117728447596,0.893648377914568,1.30457555148354,1,PASS,PASS,PASS,WARNING,WARNING,PASS,
class_0\44a4d04162cc.png,class_0,44a4d04162cc.png,PASS,0.375010419817856,0.0766499252397211,0.0013323655105537,0.784673922902494,1.15437257216839,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\4554062fa836.png,class_0,4554062fa836.png,FAIL,0.26807815330094,0.094314086592753,0.000467836095878734,0.739298254061726,0.776939988659469,1,PASS,PASS,PASS,PASS,FAIL,PASS,Uneven Illumination
class_0\4826d10030b3.png,class_0,4826d10030b3.png,PASS,0.400071500440561,0.0541920933751258,0.000960362885622856,0.787654421768707,1.03712829454234,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\486e852a3b4d.png,class_0,486e852a3b4d.png,WARNING,0.225497491005294,0.0709835952493808,0.000411636251881292,0.754194954520687,0.841521845352198,1,PASS,PASS,PASS,PASS,WARNING,PASS,
class_0\4926dea289f8.png,class_0,4926dea289f8.png,PASS,0.401235815528269,0.0742773794303347,0.000974862793613924,0.786557823129252,1.080192287617,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\493d99f030e2.png,class_0,493d99f030e2.png,PASS,0.302403449560565,0.0740608511626398,0.00051466522777111,0.855793534392253,1.12810813178321,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\4958bfcc9f38.png,class_0,4958bfcc9f38.png,PASS,0.401576292184792,0.0723959079493898,0.000872735208812541,0.786228571428571,1.20460969698252,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\4982378d72f9.png,class_0,4982378d72f9.png,PASS,0.425122538185515,0.0827510376909726,0.000777740975809821,0.474646250406901,1.07233306957527,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\4a05f81b3aba.png,class_0,4a05f81b3aba.png,PASS,0.215913295214041,0.0920470405373642,0.000302345510856101,0.72323044310015,1.11333182491534,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\4ab8c0cece7f.png,class_0,4ab8c0cece7f.png,PASS,0.36039143037592,0.0714940677536736,0.000800871444233233,0.784360997732426,1.08681889678004,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\4b6895d0cf8d.png,class_0,4b6895d0cf8d.png,WARNING,0.203542595049512,0.0967621593476156,0.000248983743039338,0.510143855420728,1.29454887057173,1,PASS,WARNING,PASS,PASS,WARNING,PASS,
class_0\4b6cb0bcfd44.png,class_0,4b6cb0bcfd44.png,WARNING,0.32296827598628,0.0736043018002185,0.000383608054267574,0.47233517964681,1.14417771270281,1,PASS,PASS,PASS,WARNING,PASS,PASS,
class_0\4c635a01593d.png,class_0,4c635a01593d.png,WARNING,0.343076421525663,0.0601601785716008,0.000593691965074253,0.473306973775228,1.10825054215166,1,PASS,PASS,PASS,WARNING,PASS,PASS,
class_0\4c6c5a1bf5ab.png,class_0,4c6c5a1bf5ab.png,PASS,0.225693979006771,0.0754746402308943,0.000384094162725492,0.767242167893634,1.17985466873623,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\4cf4d528c08e.png,class_0,4cf4d528c08e.png,FAIL,0.332516609654532,0.0770355629178289,0.0011065858971284,0.474598248799642,0.761839910483697,1,PASS,PASS,PASS,PASS,FAIL,PASS,Uneven Illumination
class_0\4d17559ac1e2.png,class_0,4d17559ac1e2.png,PASS,0.245927030491652,0.104907185657642,0.000387035457297392,0.797352793517026,1.24768928029584,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\4d1e7def7624.png,class_0,4d1e7def7624.png,WARNING,0.269612860127499,0.0768082006722638,0.000408673210199123,0.648989877062833,0.89505878833741,1,PASS,PASS,PASS,PASS,WARNING,PASS,
class_0\4d3de40ced3a.png,class_0,4d3de40ced3a.png,PASS,0.399539953807121,0.0685930689740078,0.00103337994720655,0.78787664399093,1.09685650061788,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\4e1e252317b5.png,class_0,4e1e252317b5.png,PASS,0.438800961320975,0.061176715718304,0.00105191597802302,0.789126530612245,1.00610977011146,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\4e231670b48c.png,class_0,4e231670b48c.png,WARNING,0.362184975801098,0.0770631671878506,0.00110989432114996,0.785771428571429,1.31208895129648,1,PASS,PASS,PASS,PASS,WARNING,PASS,
class_0\4e85aa647534.png,class_0,4e85aa647534.png,PASS,0.327683593798183,0.0795070174860665,0.00081247862451804,0.474181988839969,0.940169764591018,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\4eabad7948cf.png,class_0,4eabad7948cf.png,WARNING,0.196874534792862,0.0462479381214478,0.000247777792426073,0.464850743611654,1.04765355722782,1,PASS,WARNING,PASS,WARNING,PASS,PASS,
class_0\4f5dd7660b17.png,class_0,4f5dd7660b17.png,PASS,0.386518254660169,0.0416291050570953,0.000885578818521092,0.832095744193854,1.11319694639101,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\4f6abc40c72d.png,class_0,4f6abc40c72d.png,PASS,0.365439650850847,0.0537365975670377,0.000717587468845059,0.785860317460317,1.10631450298649,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\4faf4063db8c.png,class_0,4faf4063db8c.png,PASS,0.395227070582452,0.0608840262487271,0.000986851560973228,0.786569614512472,1.15050001514182,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\504a69096fcb.png,class_0,504a69096fcb.png,PASS,0.403598120851834,0.0830998761894834,0.00114053069029773,0.786785487528345,1.19437210662601,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\5056fa7d505f.png,class_0,5056fa7d505f.png,WARNING,0.239312002519376,0.0852756749942355,0.00030866349329596,0.788456566958196,0.854122133440413,1,PASS,PASS,PASS,PASS,WARNING,PASS,
class_0\5069feccd866.png,class_0,5069feccd866.png,WARNING,0.234858683265076,0.0523778466032315,0.000347024112742584,0.472552299499512,0.961994110218929,1,PASS,PASS,PASS,WARNING,PASS,PASS,
class_0\5077cdb88aed.png,class_0,5077cdb88aed.png,PASS,0.430554263464403,0.0510366320589711,0.00105503618683233,0.788586848072562,1.04111830080618,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\50916d67bb51.png,class_0,50916d67bb51.png,PASS,0.440914370937549,0.0660972871599612,0.000848744263175234,0.786566893424036,1.06752661073724,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\50d8249f7bc9.png,class_0,50d8249f7bc9.png,WARNING,0.454650179602253,0.10987955063321,0.000842132318752058,0.474087715148926,1.17025474641076,1,PASS,PASS,WARNING,PASS,PASS,PASS,
class_0\519c6e8f78dc.png,class_0,519c6e8f78dc.png,PASS,0.331010638361489,0.0506296109204831,0.000667392976824144,0.474266370137533,1.0658760096139,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\5293576816aa.png,class_0,5293576816aa.png,WARNING,0.397194661426541,0.0741785127850624,0.000860661274983873,0.785557369614513,1.29767145048544,1,PASS,PASS,PASS,PASS,WARNING,PASS,
class_0\52ddde91a349.png,class_0,52ddde91a349.png,PASS,0.41645327970302,0.0638781065295802,0.0010749042633008,0.78662947845805,1.16969340075737,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\549381330191.png,class_0,549381330191.png,PASS,0.364528960021148,0.0637836519671352,0.00101099474510635,0.785814058956916,1.1069380036169,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\55968f0e63c4.png,class_0,55968f0e63c4.png,PASS,0.39802039140904,0.047243672350498,0.000890964572415871,0.787667120181406,1.11033698103597,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\55f7f018c61c.png,class_0,55f7f018c61c.png,WARNING,0.234895298048393,0.0829894241490972,0.000186605900308459,0.84636011575386,1.21152576921607,1,WARNING,PASS,PASS,PASS,PASS,PASS,
class_0\568455854a11.png,class_0,568455854a11.png,PASS,0.35753603820792,0.0674870896603003,0.000657190901660161,0.473818074795273,1.12102064566098,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\57a5e4274275.png,class_0,57a5e4274275.png,PASS,0.38127988945962,0.0625212722250189,0.000748549846540257,0.474075317382812,1.04239385054457,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\596f4fdb0004.png,class_0,596f4fdb0004.png,WARNING,0.421823723889638,0.0798237089458442,0.0013651027727928,0.786373696145125,1.25834192570187,1,WARNING,PASS,PASS,PASS,PASS,PASS,
class_0\5baed382f062.png,class_0,5baed382f062.png,WARNING,0.320105816572131,0.0615348902839347,0.000411703169944621,0.472903318180191,1.02653855009923,1,PASS,PASS,PASS,WARNING,PASS,PASS,
class_0\5bea250d8bf5.png,class_0,5bea250d8bf5.png,PASS,0.43141255614231,0.0517822208543503,0.00101460843267429,0.788530612244898,1.08852720707661,1,PASS,PASS,PASS,PASS,PASS,PASS,
class_0\5c817060c0ed.png,class_0,5c817060c0ed.png,PASS,0.360121738551063,0.0724168132444327,0.000836874805700595,0.784770975056689,1.18066800922096,1,PASS,PASS,PASS,PASS,PASS,PASS,
